"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"87","MAPPSTORE SANDEFJORD AS
                ","818366612","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"88","MEADOWS AS
                ","918399313","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"89","MONARCH HOLDING
                ","918184368","2017-01-07","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"90","MOTORCOMPANIET AS
                ","918415742","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"91","MURMESTER DAVID DAINIUS VALIULIS
                ","918104739","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"92","MØLLER HÅNDVERK AS
                ","918400370","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"93","MØLLERS EIENDOM AS
                ","918400311","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"94","MØLLERS HOLDING AS
                ","918400397","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"95","NASJONALT KOMPETANSESENTER FOR EVNERIKE BARN AS
                ","918339051","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"96","NETT-LAGER AS
                ","918411852","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"97","NIDINGR DA
                ","818446772","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"98","NILSENS CATERING AS
                ","918371915","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"99","NORDBYEN LEGESENTER DA
                ","818310072","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"100","NORTHSEA SKINBOATS AS
                ","918302158","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"101","NORUM WATCHES AS
                ","918271775","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"102","NORWAY PARK MOSCOW AS
                ","918435611","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"103","NORWAY SHIPPING AS
                ","918112561","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"104","NYE HUS OG HYTTER AS
                ","918322086","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"105","OCEAN PRINCESS AS
                ","918371427","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"106","OFFICE24 AS
                ","918306145","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"107","OLSEN-HOLDING AS
                ","918340335","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"108","ON:U TØNSBERG AS
                ","918397132","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"109","ONJANASTORE ONJANA JENSEN
                ","918194851","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
