"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"90","HØLLEN REKER AS
                ","818331312","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"91","HØVÅG TRAFIKKSKOLE AS
                ","918313311","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"92","HÅNDTVERKSENTERET KVINESDAL AS
                ","918402888","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"93","IN THE WOODS CHRISTIAN BOTTERI
                ","918347887","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"94","IN-CONTROL AS
                ","918367128","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"95","INSPERI AS
                ","918325174","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"96","INTELLIGUNT AS
                ","918316566","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"97","INTELLILIFT AS
                ","918335722","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"98","IRISØR.NO AS
                ","918347143","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"99","JKH AS
                ","918395512","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"100","JOHAN ANDERSEN HOLDING AS
                ","818336292","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"101","JONS FOTO JON ØSTBY
                ","918450262","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"102","JOOLO AS
                ","918419462","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"103","JPR HOLDING AS
                ","918421831","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"104","KARTHEIA FEM AS
                ","818478992","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"105","KBR EIENDOM AS
                ","918323872","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"106","KENNETH INVEST AS
                ","918469524","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"107","KILSUND MARINA EIENDOM AS
                ","918474900","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"108","KJØPMANN PEDERSEN AS
                ","918358994","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"109","KRIA AS
                ","918317228","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"110","KRISTEN VGS KRISTIANSAND AS
                ","918436871","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"111","KVINESDAL LEGESENTER AS
                ","918373519","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"112","LARS TOMMY NEDLAND
                ","918365966","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"113","LAYSECURE AS
                ","918430407","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"114","LEGE PAAL ARNESEN AS
                ","918340939","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"115","LILLESANDSVEIEN 3 HOLDING AS
                ","918441670","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"116","LISTA EIENDOM AS
                ","918402802","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"117","LISTER SALG OG MONTASJE AS
                ","918310010","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"118","LOSSIUS AGENTUR AS
                ","918485228","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"119","LUMBER TEKNOPARK AS
                ","918318607","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"120","LV3 HOLDING AS
                ","918378820","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"121","LYKKELITEN FRISØR AS
                ","918453199","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"122","M.L.SKOGTJENESTE. JANIS FRIDRIHSONS
                ","918441530","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"123","MANDAL BILREKVISITA AS
                ","918346848","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"124","MASKINENTREPRENØR HANS KLUNGLAND AS
                ","918408266","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"125","MB7A AS
                ","918345914","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"126","MEMOBASE SOURCE AS
                ","918281886","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"127","MESTERBYGG KRISTIANSAND AS
                ","918350829","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"128","MILAOGCO BIRGER ALEXANDER BAKKEN
                ","918443843","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"129","MITECH HOLDING AS
                ","918341773","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"130","MJÅVANNSVEGEN 45 AS
                ","918466711","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"131","MN TAK AS
                ","918276807","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"132","MODUS SØGNE FEMME AS
                ","918427074","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"133","MODUS VÅGSBYGD AS
                ","918308415","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"134","MONICAS HUD- OG VELVÆRE KLINIKK MONICA HOMME
                ","916036167","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"135","MONTASJE OG VARME AS
                ","918458905","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"136","MOONSTONE AS
                ","918479066","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"137","MR BILVERKSTED AS
                ","918375821","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"138","MULTIGROOMERS A/S
                ","917988471","2017-01-07","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"139","MUNNGODT2 AS
                ","918440356","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"140","MURERFIRMA EDVIN AAMODT
                ","987660937","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"141","MØLL SAG OG SKOG
                ","818463812","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"142","MØVIG FRISØR V/ IBRAHIM
                ","918340122","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"143","NDG MARINE AS
                ","918408819","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"144","NESLAND HOGST OG MASKIN AS
                ","918336281","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"145","NEWCO KRISTIANSAND 102 AS
                ","918433481","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"146","NEWCO KRISTIANSAND 103 AS
                ","918433740","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"147","NEWCO KRISTIANSAND 104 AS
                ","818433522","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"148","NORSHIPS AS
                ","918353240","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"149","NORSIA FREIGHT SERVICES AS
                ","918326073","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"150","NORSKE NATURPLANTER AS
                ","918393447","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"151","NYE VESTRE KIOSK AS
                ","918375791","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"152","OASEN SKOLE FLEKKEFJORD AS
                ","918462112","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"153","OASEN SKOLE VENNESLA AS
                ","918462201","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"154","ODDENYOGA STINE ODDEN HAGEN
                ","912282295","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"155","ORANGUTANG HOLDING AS
                ","918371109","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"156","OSM MARINE CREW 2 AS
                ","918312099","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"157","OTRA EIENDOMSUTVIKLING AS
                ","918459421","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"158","OVANI AS
                ","918378405","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"159","PAGELS AS
                ","918382887","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"160","PAKKHUSET 4-3 AS
                ","918375201","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"161","PALE HORSE AS
                ","918421521","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"162","PAPPAROMEO INVEST AS
                ","918319557","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"163","PENGUIN EVENTS CARL JEFFERSON BUGGE NICOLAYSEN
                ","918429115","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"164","PRODLAB AS
                ","918271937","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"165","R&S TJENESTER DA
                ","918397183","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"166","R.B. NILSEN'S EFTF. AS
                ","918315519","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"167","R.SIGVALDSEN VAKMESTERSERVICE
                ","918473335","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"168","RAYS THAIMAT AS
                ","918429778","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"169","REVISJONSFIRMA RUNE SVENDSEN AS
                ","818393482","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"170","REVOLUS AS
                ","918342095","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"171","REVOLVER HOLDING AS
                ","918425896","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"172","RFKF HOLDING AS
                ","918376348","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"173","RJ MASKINTEKNIKK AS
                ","918321829","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"174","RJR AS
                ","918310134","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"175","RULLCON HILDE RULLESTAD
                ","918465022","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"176","RØRLEGGER TIMENES AS
                ","918472002","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"177","SAHLANDER MUSIKK , HUDPLEIE OG SPA AS
                ","918363793","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"178","SAKURA KINA MAT AS
                ","918462694","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"179","SALONG HEAD ON AS
                ","918378707","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"180","SAMEIE GULLESTADVEIEN 8
                ","918438459","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"181","SAMEIET GYLDENLØVESGATE 31
                ","918300554","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"182","SAMEIET HOVEDGATA 10
                ","996761606","2017-01-05","Rettelse av foretaksnavn                          
                ","Agder","Før"
"183","SAMEIET RANDESUND HAGEBY 2
                ","918312161","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"184","SAMEIET STOREMYRLIA 1 C
                ","918319441","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"185","SAMEIET VED STRANDEN
                ","918190813","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"186","SAMEIET ØSTERVEIEN 8
                ","918393676","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"187","SESAMCARRIER AS
                ","918444459","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"188","SETESDAL & OMEGN GRAVFERDSBYRÅ AS
                ","918312102","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"189","SETH HOLDING AS
                ","918319549","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"190","SFT-4 AS
                ","918423001","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"191","SHU TRADING AS
                ","918332278","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"192","SINNES OG VALEVATN VEGLAG SA
                ","915385168","2017-01-05","Administrativ kunngjøring                         
                ","Agder","Før"
"193","SJØLYSTVEIEN VAKT AS
                ","818309422","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"194","SKANDIA PRODUKTER AS
                ","918336206","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"195","SKEIME-BYGG AS
                ","918402713","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"196","SKEIVOLL HOLDING AS
                ","918316973","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"197","SKIBÅSEN INVEST AS
                ","918414347","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"198","SKILTOPP SØR AS
                ","918463003","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"199","SKIPPER HENRIK AS
                ","918309691","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"200","SKONE AS
                ","918320555","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"201","SKREGELID HOLDING AS
                ","918306579","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"202","SMAABRYGG AS
                ","818329512","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"203","SMASH-TEAM AS
                ","918320407","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"204","SOLE MARINE SERVICES AS
                ","918323929","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"205","SRS MEDIA AS
                ","918417966","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"206","STARTUP 4818 AS
                ","918312986","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"207","STEVEN HREBIK
                ","893922342","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"208","STOA BLIKKENSLAGERVERKSTED AS
                ","918481923","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"209","STORGT 5 GRIMSTAD AS
                ","918329994","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"210","STUDIO BYSTRANDA AS
                ","918432809","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"211","STUDIO M HÅR & MAKEUP TORKILDSEN
                ","918382216","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"212","SYNERGIES AS
                ","918305653","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"213","SYSPRO AS
                ","918315764","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"214","SØR-STÅL EIENDOM II AS
                ","918454829","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"215","SØRLANDSBUDET AS
                ","918327371","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"216","SØT UTVIKLING AS
                ","918378073","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"217","TAKSTMANN KJELL ERIK OLSEN AS
                ","918436464","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"218","TANNLEGE KLOUMAN AS
                ","918372407","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"219","TEAMTEC WTE AS
                ","918407448","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"220","THOM ANDERSEN HOLDING AS
                ","918420517","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"221","THOMAS MØLL
                ","918437754","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
