"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"118","LILLA ASIA PIZZA OG GRILL DA
                ","818306172","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"119","LINDLAND TEGNING AS
                ","918411208","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"120","LOSSIUS TRANSPORT PARTNER DA
                ","918342397","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"121","LS PARTNER DA
                ","918417265","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"122","LØVGREEN AS
                ","918479120","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"123","MALKENES
                ","918474552","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"124","MALME FYSIOTERAPI AS
                ","918483861","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"125","MARF AS
                ","818459882","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"126","MASKINENTREPRENØR BRINCHEN & MYKLAND AS
                ","918309500","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"127","MAURITZ AS
                ","918392017","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"128","MESTER BYGG OG EIENDOM GRUPPEN AS
                ","918446109","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"129","MIKROSEMENT & MURDEKOR AS
                ","918415130","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"130","MKG INVEST AS
                ","918451013","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"131","MLR AS
                ","918470840","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"132","MOST OF ALL AS
                ","918359222","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"133","MUDO GYM OG KAMPSPORT VIKERSUND AS
                ","918414789","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"134","MØLLER EIENDOM 2 AS
                ","918434151","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"135","MØLLERGÅRDEN AS
                ","918434208","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"136","NATHALIE TJØME
                ","918468242","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"137","NEW DEAL PUBLISHING AS
                ","918375538","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"138","NOMAX AS
                ","918351949","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"139","NORDERHOV UTMARKSLAG SA
                ","999297757","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"140","NORSIA AS
                ","918342273","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"141","ON:U GULSKOGEN AS
                ","918397140","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"142","ORIENT EXPRESS AS
                ","918480919","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"143","PKS SCANDINAVIA AS
                ","818477872","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"144","PÅ HJØRNET NESBYEN AS
                ","918373349","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"145","R T GRANLUND
                ","918438181","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"146","R.K INVEST AS
                ","918312455","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"147","RCA12 AS
                ","918407022","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"148","REGNSKAP NOR AS
                ","918463011","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"149","REIDAR STENBERG
                ","969932075","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"150","REINTONS TREVAREFABRIKK AS
                ","918413812","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"151","RINGERIKE BILPLEIE AS
                ","918327231","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"152","RM BYGGFORNYING AS
                ","918430172","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"153","ROFI TAK AS
                ","918184686","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"154","RPS INVEST AS
                ","918328564","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"155","S. KRISTIANSEN HESTEPRODUKTER
                ","918403221","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"156","SAMEIET CAPJONSGATE 2
                ","918337342","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"157","SAMEIET SCHJONGSGATE 1
                ","818406932","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"158","SAYED
                ","818319932","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"159","SHINE SERVICE AS
                ","918479635","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
