"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"88","SCHNEIDER INVESTMENT AS
                ","918442847","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"89","SI-FRA EIENDOM AS
                ","918304215","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"90","SIV.ING. GEIR PETTERSEN AS
                ","918409750","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"91","SJØBO HOLDING AS
                ","918425322","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"92","SJØVEGAN EIENDOM AS
                ","918491899","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"93","SKAFFERIET TROMSØ AS
                ","918429352","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"94","SKOGSBILVEGLAGET YTTERBEKKLIA SA
                ","917779872","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"95","SKYFITNESS TROMSØ AS
                ","918478361","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"96","SNE NÆRINGSMEGLING AS
                ","918340742","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"97","SNORRE ART AS
                ","818448732","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"98","SORGENFRI EIENDOM AS
                ","918433023","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"99","STAKKEVOLLVEGEN 335 AS
                ","918036997","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"100","STALHEIM HOLDING AS
                ","918354077","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"101","STIAN S. COLLINS
                ","918323953","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"102","STRØMSENG INVEST AS
                ","918345639","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"103","STYRMANNSVEGEN 13 AS
                ","918306382","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"104","SUNSET GRILL AS
                ","918329420","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"105","SUSHI POINT HARSTAD AS
                ","918479007","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"106","T.N. INVEST AS
                ","918316078","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"107","TAMOK WILDERNESS EXPLORER AS
                ","918363815","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"108","TEKNEL AS
                ","918426655","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"109","TENNSKJÆR UTVIKLING AS
                ","918306757","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"110","TIAN INVEST AS
                ","918322760","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"111","TORD MØRK JOHANSEN AS
                ","918379479","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"112","TROMS VAKTMESTER SERVICE AS
                ","918403051","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"113","TROMSØ MASKIN OG TRANSPORT AS
                ","918321489","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"114","TROMVIK VANNVERK SA
                ","970191089","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"115","TT HOLDING NORD AS
                ","918309438","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
